,0
Weight,weight
Weight Unit,weight_unit
Quantity,qty
Quantity Type,qty_type
TEUs,teus
Estimated Value,value_est
Arrival Date,date_arrival
Container Piece Count,container_piece_count
Quantity of Commodity Short Description,commod_short_desc_qty
Territory of Origin,origin_territory
Region of Origin,origin_region
Port of Arrival Code,arrival_port_code
Port of Arrival,arrival_port_name
Port of Departure Code,departure_port_code
Port of Departure,departure_port_name
Final Destination, dest_final
Coastal Region,coast_region
Clearing District,clearing_district
Place of Receipt,place_receipt
Shipper,shipper_name
Shipper Address,shipper_address
Consignee,consignee_name
Consignee Address,consignee_address
Notify Party,notify_party1_name
Notify Party Address,notify_party1_address
Also Notify Party,notify_party2_name
Also Notify Party Address,notify_party2_address
Raw Commodity Description,commod_desc_raw
Marks Container Number,container_id_marks
Marks Description,marks_desc
HS Code,hs_code
JOC Code,joc_code
Commodity Short Description,commod_short_desc
Container Number,container_id
Carrier,carrier_name
SCAC,carrier_scac
Vessel Name, vessel_name
Voyage Number,vessel_id
Pre Carrier,precarrier
IMO Number,imo_num
Inbond Code,inbond_code
Mode of Transport,transport_mode
Bill of Lading Number,bol_id
